main,base,price
LUNA,BTC,0.00004215
LUNA,BUSD,0.48400000
LUNA,USDT,0.48540000
IDEX,BTC,0.00000830
IDEX,BUSD,0.09564000
RSR,BNB,0.00112600
RSR,BTC,0.00000221
RSR,BUSD,0.02540000
PAXG,BNB,87.48900000
PAXG,BTC,0.17004000
PAXG,BUSD,1950.00000000
WNXM,BNB,2.23700000
WNXM,BTC,0.00438600
WNXM,BUSD,50.18000000
