main,base,price
LUN,ETH,0.00000000
TRIG,BTC,0.00000000
TRIG,ETH,0.00000000
TRIG,BNB,0.00000000
APPC,BTC,0.00000508
APPC,ETH,0.00000000
APPC,BNB,0.00000000
VIBE,BTC,0.00000195
VIBE,ETH,0.00000000
RLC,BTC,0.00014081
RLC,ETH,0.00416700
RLC,BNB,0.07166000
INS,BTC,0.00001221
INS,ETH,0.00000000
PIVX,BTC,0.00004095
PIVX,ETH,0.00121600
PIVX,BNB,0.00000000
IOST,BTC,0.00000060
IOST,ETH,0.00001771
CHAT,BTC,0.00000000
CHAT,ETH,0.00000000
STEEM,BTC,0.00002089
STEEM,ETH,0.00061500
STEEM,BNB,0.01070000
NANO,BTC,0.00010830
NANO,ETH,0.00319200
NANO,BNB,0.00000000
VIA,BTC,0.00002480
VIA,ETH,0.00000000
VIA,BNB,0.00000000
BLZ,BTC,0.00001111
BLZ,ETH,0.00032947
BLZ,BNB,0.00570100
AE,BTC,0.00001716
AE,ETH,0.00050800
AE,BNB,0.00000000
RPX,BTC,0.00000000
RPX,ETH,0.00000000
RPX,BNB,0.00000000
NCASH,BTC,0.00000000
NCASH,ETH,0.00000270
NCASH,BNB,0.00000000
POA,BTC,0.00000431
POA,ETH,0.00000000
POA,BNB,0.00000000
ZIL,BTC,0.00000192
ZIL,ETH,0.00005665
ZIL,BNB,0.00098040
ONT,BTC,0.00007860
ONT,ETH,0.00232600
ONT,BNB,0.04024000
STORM,BTC,0.00000000
STORM,ETH,0.00000000
STORM,BNB,0.00000000
QTUM,BNB,0.00000000
QTUM,USDT,3.77200000
XEM,BTC,0.00000833
XEM,ETH,0.00024720
XEM,BNB,0.00000000
WAN,BTC,0.00003499
WAN,ETH,0.00103600
WAN,BNB,0.01797000
WPR,BTC,0.00000094
WPR,ETH,0.00000000
QLC,BTC,0.00000252
QLC,ETH,0.00007458
SYS,BTC,0.00000795
SYS,ETH,0.00000000
SYS,BNB,0.00000000
QLC,BNB,0.00000000
GRS,BTC,0.00002039
GRS,ETH,0.00000000
ADA,USDT,0.11714000
ADA,BNB,0.00523200
CLOAK,BTC,0.00000000
CLOAK,ETH,0.00000000
GNT,BTC,0.00001020
GNT,ETH,0.00030180
GNT,BNB,0.00000000
LOOM,BTC,0.00000335
LOOM,ETH,0.00009924
LOOM,BNB,0.00000000
XRP,USDT,0.27768000
BCN,BTC,0.00000000
BCN,ETH,0.00000000
BCN,BNB,0.00000000
REP,BTC,0.00195100
REP,ETH,0.05783000
REP,BNB,0.00000000
BTC,TUSD,11480.56000000
TUSD,BTC,0.00000000
ETH,TUSD,387.59000000
TUSD,ETH,0.00000000
TUSD,BNB,0.00000000
ZEN,BTC,0.00077220
ZEN,ETH,0.02286000
ZEN,BNB,0.39590000
SKY,BTC,0.00005785
SKY,ETH,0.00000000
SKY,BNB,0.00000000
EOS,USDT,3.12830000
EOS,BNB,0.13980000
CVC,BTC,0.00000362
CVC,ETH,0.00010692
CVC,BNB,0.00000000
THETA,BTC,0.00004426
THETA,ETH,0.00131614
THETA,BNB,0.02261400
XRP,BNB,0.01241000
TUSD,USDT,0.99920000
IOTA,USDT,0.36290000
XLM,USDT,0.09855000
IOTX,BTC,0.00000072
IOTX,ETH,0.00002153
QKC,BTC,0.00000081
QKC,ETH,0.00002371
AGI,BTC,0.00000592
AGI,ETH,0.00000000
AGI,BNB,0.00000000
NXS,BTC,0.00002320
NXS,ETH,0.00000000
NXS,BNB,0.00000000
ENJ,BNB,0.01015000
DATA,BTC,0.00000517
DATA,ETH,0.00015158
ONT,USDT,0.90060000
TRX,BNB,0.00105900
TRX,USDT,0.02370000
ETC,USDT,6.49050000
ETC,BNB,0.29000000
ICX,USDT,0.65790000
SC,BTC,0.00000036
SC,ETH,0.00001053
SC,BNB,0.00018210
NPXS,BTC,0.00000000
NPXS,ETH,0.00000051
VEN,USDT,0.00000000
KEY,BTC,0.00000000
KEY,ETH,0.00001729
NAS,BTC,0.00004750
NAS,ETH,0.00140400
NAS,BNB,0.00000000
MFT,BTC,0.00000000
MFT,ETH,0.00000925
MFT,BNB,0.00015920
DENT,BTC,0.00000000
DENT,ETH,0.00000080
ARDR,BTC,0.00000742
ARDR,ETH,0.00000000
ARDR,BNB,0.00000000
NULS,USDT,0.45020000
HOT,BTC,0.00000007
HOT,ETH,0.00000193
VET,BTC,0.00000150
VET,ETH,0.00004430
VET,USDT,0.01717300
VET,BNB,0.00076560
DOCK,BTC,0.00000260
DOCK,ETH,0.00000000
POLY,BTC,0.00000517
POLY,BNB,0.00000000
PHX,BTC,0.00000000
PHX,ETH,0.00000000
PHX,BNB,0.00000000
HC,BTC,0.00014540
HC,ETH,0.00000000
GO,BTC,0.00000112
GO,BNB,0.00000000
PAX,BTC,0.00000000
PAX,BNB,0.00000000
PAX,USDT,0.99930000
PAX,ETH,0.00000000
RVN,BTC,0.00000197
RVN,BNB,0.00101200
DCR,BTC,0.00156800
DCR,BNB,0.00000000
USDC,BNB,0.00000000
MITH,BTC,0.00000089
MITH,BNB,0.00045700
BCHABC,BTC,0.00000000
BCHSV,BTC,0.00000000
BCHABC,USDT,0.00000000
BCHSV,USDT,0.00000000
BNB,PAX,22.36190000
BTC,PAX,11479.72000000
ETH,PAX,387.57000000
XRP,PAX,0.27716000
EOS,PAX,0.00000000
XLM,PAX,0.00000000
REN,BTC,0.00003973
REN,BNB,0.00000000
BNB,TUSD,22.32710000
XRP,TUSD,0.27792000
EOS,TUSD,3.13320000
XLM,TUSD,0.00000000
BNB,USDC,22.37430000
BTC,USDC,11480.52000000
ETH,USDC,387.52000000
XRP,USDC,0.27784000
EOS,USDC,3.13360000
XLM,USDC,0.00000000
USDC,USDT,0.99930000
ADA,TUSD,0.11638000
TRX,TUSD,0.02374000
NEO,TUSD,0.00000000
TRX,XRP,0.08541000
XZC,XRP,0.00000000
PAX,TUSD,0.00000000
USDC,TUSD,0.00000000
USDC,PAX,0.00000000
LINK,USDT,15.26750000
LINK,TUSD,15.20740000
LINK,PAX,0.00000000
LINK,USDC,15.29290000
WAVES,USDT,3.27060000
WAVES,TUSD,0.00000000
WAVES,PAX,0.00000000
WAVES,USDC,0.00000000
BCHABC,TUSD,0.00000000
BCHABC,PAX,0.00000000
BCHABC,USDC,0.00000000
BCHSV,TUSD,0.00000000
BCHSV,PAX,0.00000000
BCHSV,USDC,0.00000000
LTC,TUSD,58.45000000
LTC,PAX,58.38000000
LTC,USDC,58.55000000
TRX,PAX,0.02371000
TRX,USDC,0.02371000
BTT,BTC,0.00000000
BTT,BNB,0.00001859
BTT,USDT,0.00041600
BNB,USDS,0.00000000
BTC,USDS,0.00000000
USDS,USDT,0.00000000
USDS,PAX,0.00000000
USDS,TUSD,0.00000000
USDS,USDC,0.00000000
BTT,PAX,0.00000000
BTT,TUSD,0.00041640
BTT,USDC,0.00041600
ONG,BNB,0.00000000
ONG,BTC,0.00001681
ONG,USDT,0.19270000
HOT,BNB,0.00003328
HOT,USDT,0.00074710
ZIL,USDT,0.02195000
ZRX,BNB,0.02994000
ZRX,USDT,0.67170000
FET,BNB,0.00503400
FET,BTC,0.00000978
FET,USDT,0.11260000
BAT,USDT,0.35760000
XMR,BNB,3.98300000
XMR,USDT,89.13000000
ZEC,BNB,3.32900000
ZEC,USDT,74.60000000
ZEC,PAX,0.00000000
ZEC,TUSD,0.00000000
ZEC,USDC,74.42000000
IOST,BNB,0.00030760
IOST,USDT,0.00687200
CELR,BNB,0.00054190
CELR,BTC,0.00000105
CELR,USDT,0.01205000
ADA,PAX,0.00000000
ADA,USDC,0.11705000
NEO,PAX,0.00000000
NEO,USDC,17.73200000
DASH,BNB,3.89400000
DASH,USDT,86.94000000
NANO,USDT,1.24360000
OMG,BNB,0.00000000
OMG,USDT,5.53230000
